,QUES,ANS,IS_QUESTION,QUES_RELEVANCE,ANS_READABILITY,ANS_RELEVANCE
11,公司在9月28日发行可转债反馈意见对“测算扣非后净利润增长比例较高的依据及合理性，是否可实现。”的回复中说公司方在进行未来两年扣非后净利润增长预测时采用较高的增长比例是合理的，上述增长情况有较大可能得到实现。”这句描述是否属实？如果属实，那么就是公司认同预测的比例能够较大可能实现，对吧？,您好，公司论述本次发行摊薄即期回报是基于一季度经营业绩（注：半年报尚未披露）以及公司业务承接情况进行测算，反馈意见的回复有理有据，内容真实。但投资者仍需注意“相关假设及测算不代表公司对未来经营情况及趋势的判断，亦不构成盈利预测”。感谢您的关注，谢谢。,Positive,Positive,4,3
12,今年以来，贵公司股价大幅下跌，投资者损失惨重。试问，下半年钴产品价格有多大反弹空间？目前特斯拉、比亚迪、宁德时代均抛弃含钴电池，贵公司如何应对？公司近期在提高三元含钴电池能量、增强电池安全性方面有哪些创新？,您好，钴产品价格受到市场供求等多方面因素影响。三元材料电池已经过多年验证并成功市场化应用在多种新能源电动车上，我们认为未来三元材料仍然是新能源汽车特别是中高端乘用车的主流技术路线。公司不直接生产电池，公司的下游客户主要为锂电正极材料生产厂商，是锂电池用户的上游企业。感谢您的关注！,Positive,Positive,4,2
13,董秘您好！公司在2018—2020年被纳入国企改革双百企业，现在都到了2021年中，为何现在改革还没有实施？,答：感谢您对公司的关注。2020年度，公司“双百行动”在航天电工试点推行的职业经理人制度、杭州航天技术骨干实施岗位分红的基础上，继续加大改革创新力度，航天飞鸿公司实施了核心员工股权激励，与顺丰控股股份有限公司所属公司合资成立航天时代飞鹏有限公司，并同步引入核心员工持股的激励措施，在探索下属公司混合所有制改革方面迈出了重要步伐，公司“双百行动”取得了较好的成效。,Positive,Positive,4,3
14,请问5G光模块是海信视像的业务吗？,尊敬的投资者您好！光模块业务不在公司业务范围内，感谢您对公司的关注！,Positive,Positive,4,3
15,董秘您好，江苏康缘现代中药研究院创新中药研发团队获得第六届全国专业技术人才先进集体荣誉，康缘的专业技术和研发实力得到了国家的认可和奖励，但是资本市场中康缘的股价长期处于十年低位，为什么没有得到资本市场的认可？,尊敬的投资者，您好！公司创新中药研发团队确实已入围“第六届全国杰出专业技术人才和专业技术人才先进集体拟表彰对象”的先进集体名单，目前正处于公示阶段。研发和创新是企业的生命线，公司会立足于优势产品领域，持续不断地推进新产品的研发和销售，增加市场竞争力。目前二级市场股价受到多重因素的影响未能充分反映出公司的真实价值，相信未来会有更好的价值展现。感谢您的关注！,Positive,Positive,4,3
16,贵公司磷酸铁锂项目启始于2010年，2011年10月底给出了技术结论：项目的工艺可行，但产品质量不高， 外观发黄，且生产废水量较大，现已作为储备项目。新能源电池产业在当前及未来长期奖迅猛发展，请问是否打算引进战略合作者重启该项目，以避免前期投资损失，助推公司更好发展？建议公司高层审时度势，果敢决策！请务必具体详尽回答。,尊敬的投资者，您好，感谢您对公司的关注！公司暂无引进战略合作者全面重启该项目的计划。,Positive,Positive,4,3
17,本人3月25日的提问，你公司并未就营业收入、预收账款、净利润增长的勾稽做出正面解释，亦未就调低2018年度利润是否与为轻松实现2019年股权激励10%的净利润增长考核指标做出解释，而在4月3日才回复问题，董秘和财务总监请不要怠慢、回避股东提问。请回答。,尊敬的投资者，您好，公司经营业绩符合公司经营预期及现阶段拓张发展实际。公司股权激励也具有“营业收入增长率及实现值”、“加权净资产收益率”、“净利润增长率及实现值”和“现金分红比例”等多个衡量公司价值创造及回报的指标，且相关指标不得低于对应年份对标企业75分位值等横向对比要求，具体内容请关注公司相关公告。感谢您对公司的关注和支持，也请客观看待公司经营特性及税率等政策对相关时点性财务指标带来的客观影响。未尽事宜，敬请关注公司相关公告！,Positive,Positive,3,2
18,你好。明早的会议有在线网络直播吗？？,尊敬的投资者，您好。公司已于2018年4月28日上午10:00在河南省长葛市魏武路黄河酒店会议室如期举办了投资者说明会，现场共有19位股东代表出席，公司方面出席本次说明会的人员包括总经理刘建设、董秘杜长洪等人。会议进行过程中，多位投资者进行了发言和建议，主要集中在：1、建议聘请致力于新兴行业发展的专业咨询团队，全面梳理黄河旋风与上海明匠之间的治理管理体系建设等，对上海明匠未来的发展和应对方案作出规划；2、通过并购，黄河旋风与上海明匠已经成为一体，建议两方能够顺利解决差异或纠纷，想办法融合发展；3、针对陈俊撤销回购上海明匠股份的申请，建议公司尽快做出是否出售明匠的表态，同时建议有必要对上海明匠进行重新审计，以消除保留意见造成的影响；4、建议公司尽快公告未来发展战略，向市场传递清晰的发展方向等方面。关于该事项的后续进展情况，敬请关注公司后续公告。,Positive,Negative,1,1
19,尊敬的董秘，您好！近期上映的《我的姐姐》，横店影视是作为主出品方嘛？在出品方出资占比多少？谢谢,尊敬的投资者您好，《我的姐姐》横店影视作为第三出品方，具体情况公司将严格按照信息披露的相关规定，通过定期报告或临时公告进行披露，感谢您的关注。,Positive,Positive,4,3
20,贵司嘉诚国际港项目是否计划申请首批国家物流枢纽？,谢谢您的关注！根据《国家物流枢纽布局和建设规划》，国家规划建设港口型、生产服务型、商贸服务型等6种类型212个国家物流枢纽。嘉诚国际港项目所在的广州市为规划中的国家物流枢纽承载城市之一。嘉诚国际港项目建成后将是国内单体面积最大最先进的现代化多功能国际物流中心。嘉诚国际港将被打造成跨境多式联运转运物流枢纽；制造业、商贸业与物流业联动发展全国示范基地；拟申请B型报税物流中心；跨境电子商务及智慧物流中心。嘉诚国际港拟从港口型、生产服务型、商贸服务型三者之一申报首批国家物流枢纽，相关事宜现处于准备申报阶段。谢谢！,Positive,Positive,4,3
21,董秘你好，请问贵公司分散染料和活性染料产能是多少？近期其价位有无变化？,感谢投资者关注！公司采用“核心自产、优势外包”的生产模式，相关产能产量及公司业绩详见公司披露的招股说明书，以及相关定期报告。谢谢！,Positive,Positive,4,2
22,你好，请问公司的网站是不是应该重新升级啊，几百块钱做的网站不能体现上市公司的价值，请重视贵公司的脸面,感谢您的关注，已将您的建议转给公司相关部门，谢谢！,Negative,Positive,4,3
23,什么时候除权除息?,您好！已分红完毕，谢谢关注！,Positive,Positive,4,3
24,你好个人股东怎么参加股东大会流程什么样？,您好，参加股东大会登记方法详见上交所网站  《关于召开 2015 年年度股东大会的通知》（公告临2016-011），感谢您的关注！,Positive,Positive,4,3
25,董秘您好，请问大连项目是否已经投产，会对今年业绩产生积极影响吗？,尊敬的投资者，目前大连项目处于试运行阶段，试运行阶段会产生部分的收益，预计本年度不会对公司业绩产生较大影响。谢谢！,Positive,Positive,4,3
26,黑龙江交建集团下属八达路桥公司目前正在征求混改对象，龙建股份是否有意向参与其混改？,投资者您好!公司暂无相关意向。感谢您的关注！,Positive,Positive,4,3
27,公司自通过定增方案后，股价一直向下，以致于跌破净资产，是否说明投资者不看好这个方案，用脚投票？,您好！公司近期召开股东大会审议通过了非公开发行A股股票方案，公司拟通过此次非公开发行，募集资金总额不超过人民币35亿元，全部用于偿还银行借款及其他有息负债，以增强公司资本实力，降低资产负债率，减少财务费用，提高公司抗风险能力和持续经营能力，从而有助进一步增强对投资者的持续回报能力，符合投资者的整体利益。证券流通市场上，公司股票的涨跌受多重因素影响，作为上市公司本身不便置评。但是，公司始终专注于强化自身经营及管理，期望以更优的业绩来回报投资者的支持。,Positive,Positive,4,3
28,请问公司准备在徐州工厂生产的汽车轻量化产品是什么东东？,您好！公司在2018年8月28日披露了《关于与徐州高新技术产业开发区管理委员会签订投资协议的公告》（2018-064号），已披露设立徐州公司及相关投资的目的为：为了能够进一步扩大公司的业务规模，提升公司在徐州及周边地区座椅产品的供应能力，降低运输成本，进一步提升在该地区产品销售服务的质量。谢谢关注！,Positive,Positive,4,3
29,请问董秘大股东有没有股权质押，如有请问质押了好多，股价现在跌了这么多公司又有没有考虑增持，,尊敬的投资者：   您好！公司大股东目前质押588万股，占公司总股本的4.43%，具体可查阅公司披露的最近一期定期报告。目前公司限售股占公司总股本的75%，为最高上线，根据相关法律法规的规定，公司大股东目前不能进行增持。感谢您对我公司的长期关注，谢谢！,Positive,Positive,4,3
30,火炬是否经营正常，股价最近很低迷，是否存在恶意卖空，陶瓷材料新业务预计什么时候可以产生投资收益，谢谢！,您好！公司经营状况一切正常。另外定增项目已完成三条（总共六条）材料生产线的安装调试工作，已进入试生产阶段，待相关鉴定及验证完成后，可释放5吨/年的产能，形成新的利润增长点。谢谢关注。,Positive,Positive,4,3
31,尊敬的董秘，请问公司截止至10.29日或今日的股东户数是多少？真是麻烦您了！,您好！公司的股东户数在定期报告中进行披露。谢谢您的关注。,Positive,Positive,1,1
32,您好！我支持南化重组！但是东方财富股吧中总有一群人各种诋毁公司，串掇大家投否决票。我建议公司向公安机关报案，这伙人几年来一直蛊惑股民。同时也希望公司针对一些问题进行正面回复，例如土地问题等。,尊敬的投资者，您好！公司目前经营工作正常，不存在应披露而未披露的其他重大事项，关于公司的信息请以公司在指定信息披露媒体和上海证券交易所网站所披露的公告为准。感谢您对公司的关注及对公司的信任，谢谢！,Negative,Positive,4,3
33,口号喊得再多也没有用，管理层的激励机制要尽快形成，这样才让股民真正的有信心;中报出来的业绩真的令人失望。,您好！公司半年报业绩下降的主要原因一是公司持有交易性金融资产公允价值的变化及本期较上年同期处置交易性金融资产收益减少；二是子公司商誉计提减值准备所致。感谢您的建议和关注！,Negative,Positive,4,3
34,针对目前疫情公司在生产上有什么安排,您好！公司目前已结合当前的疫情情况，严格按照政府关于疫情防控的要求，对生产计划、检疫检测、人员安排、劳动环境的保障做了详尽的安排。公司主营产品为生鲜水果等市民日常生活刚需消费品，为保障市场供应，公司在保证员工健康的基础上，稳步推动公司的生产经营，最大可能的确保员工以及股东的健康安全和利益。感谢您对公司的关注！,Positive,Positive,4,3
35,激光电视均价逐年下降，请问需要几年会成本更大幅度下降？或者需要几年会在55和65寸左右也比其他品类价格更低呢？,尊敬的投资者您好！激光电视具有长期增长的市场空间、良好的技术升级空间和成本压缩空间。我国的激光电视产业正通过国产化及自研程度的加深及规模效应的提高等降低成本。目前，公司激光电视的尺寸为75吋及以上，后续发展欢迎您持续关注！,Positive,Positive,4,2
36,董秘您好，公司近年来发展乏力，股价低迷，本来应该趁着前几年行业调整之机，奋力发展，脱颖而出，成为行业领军企业的，无奈公司却把行业调整当作休息的机会，彻底沉沦，股价长期破净，毫无生气。本轮国企改革料会加速，我们呼吁实控人诚通控股为公司引入有魄力有冲劲的战略投资者，或者干脆退出控股，寻找接盘者，为盘活岳阳林纸这个本来底子优秀的央企铺好道路，希望管理层为我们反映诉求。,感谢您的建议！公司将努力做好生产经营管理，以更好的业绩回报股东。,Negative,Positive,4,3
37,请问特朗普这这次挥挥动的对对钢铁和铝贸易保护，对公司影响几何?谢谢！,答：感谢您对我司的关注，公司铝锭出口至日本、韩国、东南亚，对我司基本没有影响，谢谢！,Positive,Positive,4,3
38,截至目前NOVA颅内载药支架共在哪些省份城市已进行过植入？按照NOVA目前产品的全球唯一性，以为这种增长趋势是否会成为贵公司日后的一个重要营收增长点？,尊敬的投资者您好，公司NOVA颅内载药支架目前已陆续在广东、上海、山东、重庆、甘肃、云南、陕西多省市植入。NOVA颅内支架是我公司神经业务板块产品的重要组成部分，该产品是全球首个专用于颅内动脉狭窄治疗的药物洗脱支架，也是全球首款愈合导向颅内支架，为满足多元化的临床需求，公司将加大该产品的市场推广力度，让更多的患者因此而受益。感谢您的关注！,Positive,Positive,4,2
39,请问贵公司atm机市场占有率多少？比同行业御银股份多还是少？,尊敬的投资者您好，公司经营情况等内容请以公司在指定信息披露媒体上披露的定期报告等信息为准。感谢您对公司的关注！,Positive,Positive,1,1
40,国内假发市场需求爆发，周围的人开始用了，而且是4、5千的，公司要在国内市场下功夫啊！往后比国外市场大多了，抓住这个机遇，做好市场研究，产品定位，可以考虑出发型样品，用户付定制费优惠，按需生产等方式。,谢谢您对公司的关注和良好建议！公司将抓住国家扩大内需的战略机遇期，实施国内市场的二次大开发，积极培育多层次的细分消费市场，在增加销售渠道广度和深度的同时，及时调整产品结构，满足不同消费群体对假发的需求。一是进一步在全国范围内扩张“Rebecca”高档门店，继续进驻以奢侈品为主的商业综合体，继续获取追求高品质的高端客户群体。二是渠道下沉，积极拓展新的销售渠道，洽谈新的资源，扩大假发受众，满足大众需求，给更多消费者提供她们能够负担得起的美丽发型解决方案。三是线上培育新轻奢潮流品牌（“Rebecca Youth”），深化与天猫、京东、唯品会等电商平台的合作，并着力加大线上平台推广力度，通过微信公众号、微博、抖音、小红书、微淘等进行宣传推广；评选优秀直播人员在淘宝、京东、唯品会等平台进行店铺自播并鼓励其直播带货，以覆盖更多线下渠道无法覆盖的区域，提高假发渗透率。,Negative,Positive,4,3
41,特斯拉CEO埃隆·马斯克预算只需要3000万美元，在六个月之内就能为该市建设一条3.2公里的地下隧道，请问公司盾构机能否做到这种进度,感谢您对公司的关注！公司目前尚未寻找到该项目建设完成的详细讯息。隧道施工建设需综合考虑建设标准、应用场景、地质条件、施工环境、施工工法等多方面的因素，条件不同，建设效率和进度、工程成本也不相同。作为中国盾构机行业的开拓者和领军者，近年来，公司始终聚焦技术创新、工效提升、成本降低，持续加大研发力度，不断改进制造工艺，行业领先地位进一步得到了巩固。谢谢！,Positive,Positive,4,3
42,公司什么时候复产啊,尊敬的投资者，感谢您的关注，公司已于2017年11月17日在上海证券交易所网站（http://www.sse.com.cn）披露了《关于聚海分公司恢复正常生产的公告》（2017-052号）。,Positive,Positive,4,3
43,请问2017年使用原材料TDI多少吨？MDI多少吨？,您好！公司全年的TDI消耗约8000吨，目前TDI逐渐有产能过剩的发展趋势。谢谢！,Positive,Positive,4,2
44,1.目前公司在手订单是否充足？是否处于满产状态？2.截止8月20日公司股东人数是多少？谢谢,尊敬的投资者，您好。1、公司目前各项生产经营工作正在平稳、有序进行中，订单充足，公司后续将继续进行技术革新，积极拓展业务，保证公司持续稳定发展。2、公司按要求定期披露股东户数，具体信息请留意定期报告相关内容。感谢您对明志科技的关注！,Positive,Positive,4,2
45,尊敬的莱克电器，贵公司主张生产清洁能源的公司，这一点深受我的喜爱。关键问题是贵公司产品价格的定位问题。可能由于贵公司一直是代工企业，所以生活的很滋润，老板倪祖根先生也很有钱。老先生一直立足于国际市场，视野开阔。对于我们国内百姓的生活不是很了解。为什么淘宝那么厉害，在拼多多出来的时候也感到很大的压力，因为国内市场并不是大家想象中那么有钱。莱克有自己的技术与能力，为什么不主动降低价格呢，得大众者得天下,尊敬的投资者：您好！非常感谢您对莱克产品的认可和喜爱。莱克电气始终坚持用科技创新打造自己的核心竞争力，坚持“与众不同”和“领先一步”的产品研发策略，公司研发投入逐年增长，2018年研发投入占销售额的4.17%，达2.45亿元，公司每年的新品开发数量达100多款。    莱克打造高端品牌模式“一高两创”- -高端定位、品类创新和技术创新。围绕高品质生活所必须，考虑市场成长空间大，普及率低的产品品类，莱克持续进行品类创新，为用户开创品质生活生态链。1、高端家居环境清洁产品：手持无线吸尘器、机器人等；2、高端空气净化空气舒适产品：空气净化器、空气调解扇、除湿机等；3、高端水净化及健康饮水产品：台式免安装智能净水机等；4、高端智能厨房家电产品：破壁机等；5、莱克吉米品牌 年轻化、网络化的炫酷产品：除螨机、无线吸尘器、个人护理产品等。莱克产品品类多，产品丰富，总有一款适合您，让莱克的高端制造基因在你的品质生活里环环相扣吧!欢迎您到店体验！！！,Negative,Positive,4,3
46,请问贵公司的火电业务釆取了哪些相应措施来应对“碳中和”要求？,公司将以绿色低碳为主攻方向，加快规模化集约化清洁能源基地建设，积极跟踪研究高效光伏发电技术、建筑光伏一体化及各类“光伏+”技术，大力推进光伏“新技术、新场景、新模式”应用落地，坚持海陆并进加快风电产业发展，加大水电（抽水蓄能）项目的规划开发力度，着力提升核电项目开发规模，加快氢能、CCUS等新业态技术的研究和应用，全面实现公司电源结构的优化调整。感谢您对公司的关注，谢谢。,Positive,Positive,4,3
47,公司仍未取得商务部2018-2019年钨出口资质吗？,您好，如有进展，公司会及时公告，谢谢！,Positive,Positive,1,1
48,《西藏旅游2020年年度报告》中披露了税收优惠情况除本公司下属子公司四川环喜玛拉雅网络科技……本公司及下属子公司执行15%的企业所得税税率（西藏自治区藏政发〔2008〕78号文），而根据《藏政发〔2015〕108号西藏自治区人民政府关于废止和宣布失效部分规范性文件的决定》已经废止《藏政发〔2008〕78号文》，请问执行15%的企业所得税税率的依据是什么？,尊敬的投资者您好！依据《西藏自治区招商引资优惠政策若干规定（试行）》（藏政发2018年25号），自2018年1月1日至2020年12月31日，从事《西部地区鼓励类产业目录》产业且主营业务收入占企业收入总额70%以上的，执行西部大开发15%的企业所得税优惠税率。感谢您的关注！,Positive,Positive,4,3
49,贵公司的H股，长期低估，无法正确反映贵公司的价值。强烈建议回购部分H股并予以注销，以提升全体股东的权益。,您好！感谢您的建议！于2017年年度股东大会，公司董事会获得回购H股一般性授权，在有确定增持或回购的计划后，公司会对外公布。,Negative,Positive,4,3
50,股价持续下跌，建议公司停牌自查,感谢您的关注和建议，谢谢。,Negative,Positive,4,3
51,请问二股东是否向公司提交过高转送预案提议？,您好，请您关注公司已披露的2018年年度报告中利润分配信息。谢谢！,Positive,Positive,4,3
52,请问公司出口欧盟的氨基酸产品主要供应对象是谁？,出口对象主要为当地规模及影响力较大的饲料加工企业。,Positive,Positive,4,3
53,关于重组进展的公告你们能写的更详细一些吗，具体做些什么，你们再三预计停牌一个月，没有计划吗，重组计划表发出来看看呢，不要证监会规定3个月，你们就重组3个月，最近2次的重组公告内容几乎是一样的，难道这个星期你们没有做重组工作吗？不要老是发些格式化东西，做事认真点。,公司是按照规定要求并结合实际情况实事求是披露的，请关注公司后续公告。谢谢！,Positive,Positive,1,1
54,董秘好！业绩说明会是年度最重要会议，请公布文字材料。谢谢！,您好，您可在上证e互动平台（http://sns.sseinfo.com）“上证e访谈”中查看公司业绩说明会的全部内容。感谢您对公司的关注！,Negative,Positive,4,3
55,董秘好，请问本次增发违约的两家公司的违约责任及违约金的问题是否已经起诉或解决，还是有人暗箱操作，故意违纪违规，请及时公告，增发成功已经快1个月，这点事情难道很难办吗？希望董秘能正面回答，不要用简单的与其协商后续处理事宜来搪塞你们的股民，谢谢,您好，感谢您对公司的关注。该事项不存在暗箱操作，故意违纪违规的情形。作为上市公司，公司一贯坚持尊重市场、维护资本市场形象的原则。谢谢。,Positive,Positive,4,2
56,公司上市几年间43.9元直落8元，跌幅异常公司须重视，公司自营业务不理想，对公司研报有影响吗？建议重视市值管理，严打老鼠仓。,2021年上半年，在权益市场行情巨幅波动的严峻挑战下，公司自营投资业务发展稳中有进。权益类投资以坚持长期价值投资理念为核心的指导思想，在集中管理、分散决策、风险可控的投资体系下，集中研究力量加大重点行业领域的研究覆盖，充分调动内、外部研究力量，保障投资净值的稳定性和盈利的可持续性。固定收益类投资业务方面，重点加强和巩固信用风险管理体系建设，投资收益超越可比基准。2021年5月，公司获得开展银行间现券做市业务资格，实现业务资格的再扩容。感谢您的关注与建议！,Positive,Positive,4,3
57,董秘：您好！如果张坚力（或者上市公司）收到监管层的电子版批复文件，同意张坚力“债务重组”（以资抵债）的全套方案。1.收到批复文件，上市公司是否需要发布公告？2.如果需要发布公告，从收到批复文件的当天开始计算，几个工作日内必须发布公告？,尊敬的投资者，您好。公司根据相关法律法规进行信息披露，目前无应披露而未披露事项。感谢您对公司的关注与支持，谢谢。,Positive,Positive,1,1
58,请问控制人变更会改变公司以前制定的2017—2019三年公司发展规划吗？谢谢！,投资者您好：截至目前，公司仍按已制定的2017—2019三年发展战略规划推进实施中。,Positive,Positive,4,3
59,您好董秘，贵公司风能发电，水动力发电以及太阳能新能源等领域业务能简单介绍一下吗？以及新材料应用在哪些方面？谢谢,"尊敬的投资者您好,非常感谢您的关注与支持。公司具有生产风能发电，水动力发电以及太阳能等设施相关金属零部件的生产能力，但目前没有生产该部分产品。公司主营业务产品主要以铸铁件为主，新材料应用方面，公司除自主研发外，还通过产学研等方式与相关机构的深度合作，进行前瞻性技术开发，目前尚在研发阶段，暂未有生产。",Positive,Positive,4,3
60,公司的官方网站网址是什么？公司是否可以更积极一点，和相关的中介机构多交流一下，最近是否有机构进行拜访？,公司的官方网站网址是http://www.gaofacable.com/。公司的2016年年度报告将于2017年3月31日披露，按照相关规定，近期属于披露前的敏感期，公司敏感期内不接受任何形式的调研。公司在合法、合规的前提下，做好投资者沟通工作，履行相应的信息披露义务。感谢您的关注！,Positive,Positive,4,3
61,监管问询许多都是互动投资者询问过，但被公司答非所问、含糊其辞带过，说明公司还存在问题但不愿让投资者知道。结合经营情况，多起关联交易和多年的股价下跌，公司还有什么未对普通投资者披露的？,您好！公司严格按照法律法规履行信息披露义务，感谢您的关注。,Positive,Positive,4,3
62,董秘你好，请问贵公司2020年度的审计师是谁，审计费用是多少？,尊敬的投资者，您好，根据益丰药房2019年年度股东大会审议通过的《关于续聘公司2020年度会计师事务所的议案》，公司2020年度审计机构为天健会计师事务所（特殊普通合伙）。审计项目签字人员及审计费用请关注公司计划于2021年4月9日披露的2020年年度报告及相关公告。感谢您对公司的关注！,Positive,Positive,4,3
63,您好，6.23第五次集采结果公布，关于碘化沙醇，司太立中标，恒瑞医药未中标。2020年5月司太立与恒瑞签署合作协议，其中司太立方面负责合作产品研发、注册、生产；恒瑞负责营销、自行或与经销商合作销售等。  请问本次司太立碘化沙醇进集采，恒瑞医药是否有利润分成？若有，比例是多少？谢谢,尊敬的投资者您好，感谢您对公司的关注！公司与司太立的合作协议中只涉及碘海醇注射液及碘帕醇注射液，相关信息请以公司在上交所网站披露的公告为准。,Positive,Positive,4,3
64,请问生物质精炼在公司主营构成中占比是多少？目前除大庆公司外有多少产能？,"尊敬的投资者，您好，2020年公司生物质化工产品销售收入30,000.14万元，占比3.64%。公司济南主厂区现有一套年处理10万吨秸秆的生产装置，主要包括功能糖（木糖、L-阿拉伯糖等）、染料分散剂、炭黑粘结剂、糠醛、纳米纤维素及其复合材料、纤维素制品纸浆、溶解浆等产品。感谢您对公司的关注！",Positive,Positive,4,3
65,稀土钢作为新材料，其价格理应不同于普通钢。在其财报中应当区别于普通钢明确统计其名称 数量和价格。而在前面的问答中，公司的回答是没有统计。特此再问：稀土钢在公司早有生产，为何一直未有稀土钢的销售列示？难道是与普通钢同价？或是什么？请回答,"尊敬的投资者您好,公司的钢铁产品有几百个品种，按照相关信批规则，公司未披露单一品种的价格。感谢您的关注!",Positive,Positive,4,3
66,请问公司是不是出什么问题了，怎么一个月了没见董秘回复啊,尊敬的投资者：您好。公司经营情况正常。感谢您的关注。,Positive,Positive,4,3
67,您好，贵公司在新品无线耳机方面的份额开始占据优势份额了吗？贵公司的无线耳机SIP方面成本比安靠低，份额开始逐步扩大了吗？,您好，谢谢您对公司的关注。因与客户签署保密协议，公司不对具体客户份额情况评论。今年公司耳机SiP模组产品的出货量较去年会有较大幅度增长。,Positive,Positive,4,3
68,我看来看去就是搞不懂，为什么贵公司的毛利率这么低？利润是不是有给大股东转移的嫌疑，请董秘解释一下。,您好，公司与燃气集团的业务模式主要是基于上海市的天然气产业规划形成的，不影响公司独立性，交易价格定价公允合理，采用成本加成法定价，不存在损害上市公司及其股东的利益；公司对关联交易履行了股东大会等内部决策程序，符合有关规定。谢谢！,Positive,Positive,4,3
69,能多转点股吗？,您好，公司利润分配方案是根据公司的经营状况及未来规划制定的，感谢你的关注和建议。,Positive,Positive,4,3
70,贵司近期公告将子公司变更为深圳市有方数智城市科技有限公司，想请问董秘，关于“城域物联专网为核心的解决方案和终端产品”目前应用合作方是哪些？未来还有哪些潜在合作方？另外，贵司投资的西安迅腾科技2020年业绩是否对公司水利方面业绩有大的贡献？,您好，感谢您的询问。城域物联专网在多个地方推开，有方数智专注解决智慧城市中“联”的问题，提供IOT平台和配套解决方案，合作方包括但不限于政府部门以及生态链上的合作伙伴。迅腾科技未能对公司2020年业绩做出贡献，其仍持续开拓水资源信息化领域，有方和迅腾也在业务上相互推广促进，2021年还将在供应链和智慧城市等方面进一步合作。,Positive,Positive,4,3
71,贵州盛产酒，建议公司混改引入酒类国企！谢谢！,投资者：您好。谢谢您的建议。公司正围绕自身主业推进企业发展。谢谢。,Negative,Positive,4,3
72,贵公司是否有受到“中油宝”事件导致巨大亏损？或者套期保值石油导致巨大亏损？,公司不存在相关事项，谢谢您对公司的关注！,Positive,Positive,4,3
